x: -0.018047607175182744, y: -0.0030169570653797453, z: 0.25898190267774696
X-Angle: -3.1409613730245347, Y-Angle: 0.014713803569317747, Z-Angle: 0.008318625950336292
x: -0.01839152774826501, y: -0.0029618597790002487, z: 0.2586570312033079
X-Angle: -3.1332087391486247, Y-Angle: 0.015084426422153652, Z-Angle: 0.00694576693295912
x: -0.017654651668240547, y: -0.0032871826146587944, z: 0.258058133814174
X-Angle: -3.1397143461053814, Y-Angle: 0.020695302321605824, Z-Angle: 0.0035082448236201454
x: -0.01782856343290044, y: -0.004336227140013656, z: 0.2590089973443498
X-Angle: 3.1415636177178223, Y-Angle: 0.016664165903345046, Z-Angle: 0.0045659302112195715
x: -0.020633810607320047, y: -0.006204621752940615, z: 0.25947158985378566
X-Angle: -3.1368932890586683, Y-Angle: 0.011569544042913457, Z-Angle: 0.009797621525518767
x: -0.020667631320459453, y: -0.006252889268252843, z: 0.25825447389163736
X-Angle: -3.1296812294204996, Y-Angle: 0.01223206404726044, Z-Angle: 0.007018812266403451
x: -0.02047786975096741, y: -0.004431280032898011, z: 0.2587785149716083
X-Angle: -3.1371231046526726, Y-Angle: 0.01608220776293693, Z-Angle: 0.002596113956993302
x: -0.01773898496813852, y: -0.0048117378652446086, z: 0.2584121934775272
X-Angle: -3.132980648524914, Y-Angle: 0.019073119439059438, Z-Angle: -0.001295345388180648
x: -0.017771496816557455, y: -0.0038215156715054005, z: 0.25860328998138293
X-Angle: -3.132480883308891, Y-Angle: 0.022102140412244117, Z-Angle: 0.001979364163394855
x: -0.015561961081604247, y: -0.0022689695899548406, z: 0.2582981477448442
X-Angle: -3.1383224374377607, Y-Angle: 0.024995868487284526, Z-Angle: -0.0015922867794390938
x: -0.015715363120083106, y: -0.00046834628541392466, z: 0.25864068169953996
X-Angle: -3.135117584091591, Y-Angle: 0.024811719483862793, Z-Angle: 0.0013946385017722302
x: -0.014316997609346961, y: -0.00011857548081613126, z: 0.25909415692622156
X-Angle: -3.1293870464129587, Y-Angle: 0.027028441748822005, Z-Angle: 0.00010625208618172618
x: -0.012794026692849066, y: 0.0013705358215896734, z: 0.2583358350591388
X-Angle: -3.1390364374643505, Y-Angle: 0.03039067477938542, Z-Angle: -0.0010136547824055818
x: -0.012806288615256787, y: 0.0011205561459002636, z: 0.25922371535347644
X-Angle: -3.1410795504955615, Y-Angle: 0.027986984317093684, Z-Angle: 0.0020133816488710874
x: -0.011975367578314314, y: -0.00023348568065438896, z: 0.2589570663012259
X-Angle: -3.136109768507683, Y-Angle: 0.026700231419538752, Z-Angle: 0.0015865888416333547
x: -0.011743564225545667, y: -0.0012254806289069757, z: 0.25804102187375766
X-Angle: -3.133452462474494, Y-Angle: 0.031547757782975014, Z-Angle: 0.005262557968698451
x: -0.011434667217273866, y: -0.0015000421512959955, z: 0.25795841933377983
X-Angle: -3.137220190673484, Y-Angle: 0.027333296975908184, Z-Angle: 0.006578815466838484
x: -0.010551731963666688, y: -0.002368382193587021, z: 0.25717696024343817
X-Angle: -3.1315790638566217, Y-Angle: 0.031904004938373635, Z-Angle: 0.005052479730997085
x: -0.011287516542245824, y: -0.003657382267878652, z: 0.25775294789216374
X-Angle: -3.129879402961829, Y-Angle: 0.02636847173296476, Z-Angle: 0.007191013474641312
x: -0.010460250475048463, y: -0.003362854422309672, z: 0.25658625616811803
X-Angle: -3.1352745488170193, Y-Angle: 0.031578570765108206, Z-Angle: 0.0027786180736148664
x: -0.010756913032728447, y: -0.0021756244377945724, z: 0.25743626745289816
X-Angle: -3.134396341868153, Y-Angle: 0.03328193910439606, Z-Angle: 0.006771141462380295
x: -0.01050721117107599, y: -0.002818606117330758, z: 0.2575737001200531
X-Angle: -3.129255912166739, Y-Angle: 0.027705606601793484, Z-Angle: 0.006826909663982827
x: -0.010271930253952805, y: -0.0025357055799215974, z: 0.25692455566422256
X-Angle: -3.1324341602097516, Y-Angle: 0.03379860449536542, Z-Angle: 0.005594166804769007
x: -0.011066354688980025, y: -0.0023217478584095425, z: 0.25737165388924266
X-Angle: -3.1322676795328834, Y-Angle: 0.02958929206288915, Z-Angle: 0.007743111784552432
x: -0.010398388345150717, y: -0.0022499655058846706, z: 0.2567829196855792
X-Angle: -3.1360561938263016, Y-Angle: 0.02924100540761033, Z-Angle: 0.004056866800121858
x: -0.01117467410105992, y: -0.0021347280948116705, z: 0.257581917303583
X-Angle: -3.131170467459152, Y-Angle: 0.031470601597586245, Z-Angle: 0.006359874824096434
x: -0.011325248730843182, y: -0.002752570884465344, z: 0.2569400438986251
X-Angle: -3.1342889901207114, Y-Angle: 0.026781077443397142, Z-Angle: 0.004384583465510921
x: -0.010930874786051665, y: -0.0022589155462358476, z: 0.2567141644393989
X-Angle: -3.1343321907933586, Y-Angle: 0.03262570192597978, Z-Angle: 0.0014203557478541724
x: -0.012147737034820421, y: -0.0031149227766448986, z: 0.25762375277581673
X-Angle: -3.138421164950939, Y-Angle: 0.030430759692180794, Z-Angle: 0.005090007445909979
x: -0.01195908387326882, y: -0.003687843327741746, z: 0.25654658069347225
X-Angle: -3.1316733101134204, Y-Angle: 0.024696335570796275, Z-Angle: 0.0008574254121015242
x: -0.012394818392555289, y: -0.0032608783984741526, z: 0.2564149694737396
X-Angle: -3.1319827907274482, Y-Angle: 0.02958240141098076, Z-Angle: 0.0015764014717236901
x: -0.012584050620732099, y: -0.0036644134775000443, z: 0.2569910551391996
X-Angle: -3.136636621758698, Y-Angle: 0.025426491589074084, Z-Angle: 0.002782814927176094
x: -0.011984215066999638, y: -0.003927113777960784, z: 0.25632090727395096
X-Angle: -3.1299775593114387, Y-Angle: 0.028056333004228336, Z-Angle: 0.0002639278277856776
x: -0.013010224489848368, y: -0.003595857864105456, z: 0.25638527370436204
X-Angle: -3.1367606578393454, Y-Angle: 0.029803035346290523, Z-Angle: 0.0014286713836157742
x: -0.0126910718981487, y: -0.0030319441005754173, z: 0.2562969033949766
X-Angle: -3.1317145785531917, Y-Angle: 0.027015581308724664, Z-Angle: 0.004472885798964671
x: -0.012827874735710933, y: -0.002907664351330742, z: 0.25682907879264955
X-Angle: -3.131885578616753, Y-Angle: 0.025919718952532558, Z-Angle: 0.003089577217450491
x: -0.014462319636678073, y: -0.0037997242743151236, z: 0.2571602246949661
X-Angle: -3.1415064531864507, Y-Angle: 0.024336374913789614, Z-Angle: 0.0030100078046139123
x: -0.014323136746538939, y: -0.004492541126024336, z: 0.25610414194307246
X-Angle: -3.129110013794155, Y-Angle: 0.020144650477232094, Z-Angle: -0.000962265985623959
x: -0.013415613541344833, y: -0.0035891861366220664, z: 0.2560721052982891
X-Angle: -3.1329297403318987, Y-Angle: 0.022935858658477217, Z-Angle: -0.0022281463207679394
x: -0.013358958048471712, y: -0.002787374055004751, z: 0.25579325721257684
X-Angle: -3.1323545177558314, Y-Angle: 0.02783408800163282, Z-Angle: -0.000831225825939476
x: -0.013532155044671302, y: -0.002276890956723515, z: 0.2563529154738304
X-Angle: -3.1390628377101986, Y-Angle: 0.024752142268406115, Z-Angle: 0.00018832828152731888
x: -0.013291485106155855, y: -0.002622856358125739, z: 0.25614022559005395
X-Angle: -3.1339493002107965, Y-Angle: 0.024295182168661313, Z-Angle: -0.0012350885514468743
x: -0.01361914230904665, y: -0.00212928273740591, z: 0.2557577418290568
X-Angle: -3.13650148613556, Y-Angle: 0.026279279816039443, Z-Angle: -0.0015782799439767181
x: -0.014031555463407838, y: -0.0013150956521407083, z: 0.25610876202820093
X-Angle: -3.134932410280435, Y-Angle: 0.023994974517467675, Z-Angle: -0.002457157235059169
x: -0.014494128393556694, y: -0.0010429442252208351, z: 0.2562539024545953
X-Angle: -3.138695100055224, Y-Angle: 0.023360130477431056, Z-Angle: -0.001966188103361008
x: -0.01444231650613976, y: -0.0008129953363963662, z: 0.25639356193332685
X-Angle: -3.1325679078845368, Y-Angle: 0.02115217313725033, Z-Angle: -0.0031447098109783946
x: -0.014047252065831784, y: -0.001713305904933156, z: 0.25689808810237574
X-Angle: -3.138126170213382, Y-Angle: 0.022509236113557207, Z-Angle: -0.005126712548647069
x: -0.013331069623101785, y: -0.0018339873586054958, z: 0.2555959896643971
X-Angle: -3.137245557446586, Y-Angle: 0.02538842080015875, Z-Angle: -0.005212368531110153
x: -0.012913779577175283, y: -0.0017352036398239252, z: 0.25598418157981273
X-Angle: -3.1346562164708005, Y-Angle: 0.02441705002593999, Z-Angle: -0.007399536581077262
x: -0.012501845734300214, y: -0.0004759747648872525, z: 0.2557723435069249
X-Angle: -3.1338171209954, Y-Angle: 0.02965481095581686, Z-Angle: -0.005442075771767764
x: -0.013331140172932585, y: -0.00014070702726112088, z: 0.25651255869405476
X-Angle: -3.1389584625120954, Y-Angle: 0.025555259190710906, Z-Angle: -0.0022191664260779354
x: -0.011880226120608368, y: 0.0004830054605093572, z: 0.25588164260144847
X-Angle: -3.1370108553985814, Y-Angle: 0.024641231834015363, Z-Angle: -0.009420919730620635
x: -0.012510227409727561, y: 0.00023920550141486537, z: 0.2565128796622804
X-Angle: -3.1309058297694903, Y-Angle: 0.022336253515352067, Z-Angle: -0.00251899377338841
x: -0.011616060644223769, y: 0.0003813353963541199, z: 0.25590741232904995
X-Angle: -3.136300864042063, Y-Angle: 0.028740095394336165, Z-Angle: -0.007538623420962525
x: -0.012553121074504804, y: 1.4460771230742381e-05, z: 0.25637940512832
X-Angle: -3.1394051283093214, Y-Angle: 0.025694048874160307, Z-Angle: -0.003823201788550207
x: -0.012266390661765911, y: -0.00010758244746005592, z: 0.2559233975546153
X-Angle: -3.1361854626547117, Y-Angle: 0.02557153429383785, Z-Angle: -0.007309084374028499
x: -0.012940819198241688, y: -0.0001874753644019534, z: 0.25627972030655843
X-Angle: -3.1351663450521037, Y-Angle: 0.026317613032405752, Z-Angle: -0.006289104332615121
x: -0.013280970318004163, y: 0.0003060472698586478, z: 0.2557281216579339
X-Angle: -3.1349794932115613, Y-Angle: 0.027041386559418686, Z-Angle: -0.007298294732600021
x: -0.013049797328885851, y: 0.0009975268845084035, z: 0.25580310982429477
X-Angle: -3.1388333813505924, Y-Angle: 0.024000900845298125, Z-Angle: -0.008458020407711053
x: -0.013279395889899, y: 0.001494023313184561, z: 0.2564325400291104
X-Angle: -3.1373811546106376, Y-Angle: 0.026987097596765014, Z-Angle: -0.008572881040922312
x: -0.011972722438883487, y: 0.0008803172566335195, z: 0.2556007897250812
X-Angle: -3.1391709593902637, Y-Angle: 0.027171383618609535, Z-Angle: -0.009467306757645006
x: -0.012409008935681108, y: 0.0005142325230539582, z: 0.25618188551529747
